date,temp_average,temp_max,curah_hujan,penyinaran_matahari,kelembaban_average,kec_angin_average,arah_angin_most,arah_angin,weather_encoded
04/05/2018,26.6,31.4,0.0,54,88,3.4,180.0,60,0
05/05/2018,27.1,33.4,19.8,93,87,4.1,180.0,90,2
06/05/2018,28.3,33.3,0.0,100,81,7.1,135.0,140,0
07/05/2018,29.0,33.7,0.0,100,79,4.3,135.0,110,0
08/05/2018,28.2,34.2,0.0,100,81,5.3,135.0,360,0
09/05/2018,28.2,32.6,0.0,90,80,3.6,135.0,140,0
10/05/2018,28.4,33.7,3.6,100,80,5.9,135.0,130,1
11/05/2018,27.9,33.4,0.0,81,83,4.1,90.0,150,2
12/05/2018,27.4,32.5,6.3,50,89,4.5,135.0,140,2
13/05/2018,26.5,32.2,0.2,44,88,4.4,90.0,170,2
14/05/2018,26.5,33.4,48.5,0,87,3.6,180.0,160,2
15/05/2018,33.0,30.2,7.1,28,94,4.0,180.0,140,1
16/05/2018,26.3,32.6,21.5,96,90,4.1,180.0,50,2
17/05/2018,27.4,33.0,0.8,100,84,4.2,135.0,50,2
18/05/2018,26.4,31.2,2.5,23,91,3.6,180.0,50,1
19/05/2018,26.4,32.6,2.2,83,87,3.2,270.0,130,1
20/05/2018,26.9,32.6,0.0,31,87,3.5,135.0,340,0
21/05/2018,26.9,31.6,0.0,40,87,3.4,135.0,180,0
22/05/2018,26.8,32.0,9.0,94,91,4.7,180.0,120,2
23/05/2018,26.8,30.8,73.7,6,89,4.0,270.0,160,1
24/05/2018,27.0,32.0,0.0,56,86,4.3,135.0,150,0
25/05/2018,25.8,29.2,14.4,25,96,3.4,180.0,190,1
26/05/2018,26.2,32.0,18.1,40,93,3.9,270.0,50,1
27/05/2018,27.0,31.6,15.5,56,87,4.6,225.0,240,2
28/05/2018,26.7,31.6,2.2,50,87,3.9,180.0,40,1
29/05/2018,26.9,31.6,14.0,49,88,4.3,180.0,130,1
30/05/2018,25.4,29.8,26.9,0,93,3.0,270.0,170,1
31/05/2018,27.5,31.4,2.2,15,79,3.1,135.0,120,1
01/06/2018,28.0,32.4,24.5,54,85,3.7,315.0,300,2
02/06/2018,27.0,31.8,0.0,51,83,4.1,180.0,90,0
